video,frames,valid_frames,bodylen_median_px,bodylen_MAD_px,bodylen_CV
bma5_oft_dlc_results.h5,17994,16490,74.7910915836759,5.6262300471901625,0.11954492339515777
bma6_oft_dlc_results.h5,17960,14412,44.67948904305992,3.675690833835496,0.1224691648735479
